,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
6323,NBA Live 10,PSP,Sports,EA Sports,EA Canada,5.9,0.24,0.21,0.01,0.0,0.02,2009-10-06
6348,Luminous Arc,DS,Role-Playing,Atlus,imageepoch Inc.,6.8,0.24,0.16,0.06,0.0,0.01,2007-08-14
6349,Avalon Code,DS,Role-Playing,Marvelous Interactive,Matrix Software,7.1,0.24,0.11,0.12,0.0,0.01,2009-03-10
6355,Fuel,PS3,Racing,Codemasters,Asobo Studio,6.6,0.24,0.08,0.0,0.11,0.04,2009-06-02
6378,Valhalla Knights,PSP,Role-Playing,Xseed Games,K2 LLC,5.2,0.24,0.15,0.07,0.0,0.01,2007-04-17
6383,Risen 2: Dark Waters,PS3,Role-Playing,Deep Silver,Piranha Bytes,5.5,0.23,0.04,0.01,0.14,0.03,2012-07-31
6391,Attack on Titan 2,NS,Action,Koei Tecmo,Omega Force,7.0,0.23,0.12,0.08,0.02,0.02,2018-03-20
6440,Hot Shots Tennis: Get a Grip,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.0,0.23,0.08,0.13,0.0,0.02,2010-06-29
6456,Cross Edge,PS3,Role-Playing,NIS America,Compile Heart,5.4,0.23,0.14,0.05,0.02,0.02,2009-05-26
6512,Dynasty Warriors: Strikeforce,X360,Action,Tecmo Koei,Omega Force,7.3,0.23,0.13,0.02,0.06,0.02,2010-02-16
6535,Meteos,DS,Puzzle,Nintendo,Q Entertainment,8.8,0.23,0.15,0.06,0.01,0.01,2005-06-28
6542,F1 2014,X360,Racing,Codemasters,Codemasters Birmingham,6.5,0.23,0.08,0.0,0.13,0.02,2014-10-21
6552,Valhalla Knights 2,PSP,Role-Playing,Xseed Games,K2 LLC,5.0,0.23,0.09,0.12,0.0,0.01,2008-10-01
6554,Lunar Knights,DS,Role-Playing,Konami,Kojima Productions,8.2,0.23,0.17,0.04,0.01,0.01,2007-02-06
6565,Dragon Quest Builders: Revive Alefgard,NS,Role-Playing,Square Enix,Square Enix,8.0,0.22,0.07,0.07,0.07,0.01,2018-02-09
6610,Life Is Strange: Before the Storm,PS4,Adventure,Square Enix,Deck Nine,7.5,0.22,0.11,0.02,0.06,0.03,2018-03-06
6614,Afrika,PS3,Adventure,Natsume,Rhino Studios,6.0,0.22,0.12,0.08,0.0,0.01,2009-10-06
6617,Kartia: The Word of Fate,PS,Strategy,Atlus,Atlus Co.,7.9,0.22,0.05,0.12,0.03,0.01,1998-07-31
6619,Galactic Wrestling: Featuring Ultimate Muscle,PS2,Fighting,Bandai,Aki Corporation,7.3,0.22,0.03,0.17,0.02,0.01,2004-06-30
6621,Tropico 3,X360,Strategy,Kalypso,Haemimont Games,7.7,0.22,0.15,0.03,0.02,0.01,2010-02-16
6659,Resident Evil: Revelations,WiiU,Shooter,Capcom,Capcom,7.5,0.22,0.09,0.03,0.08,0.02,2013-05-21
6711,Code Name: S.T.E.A.M.,3DS,Strategy,Nintendo,Intelligent Systems,8.0,0.22,0.14,0.02,0.05,0.02,2015-03-13
6719,Attack on Titan 2,PS4,Action,Koei Tecmo,Omega Force,7.8,0.22,0.09,0.06,0.04,0.03,2018-03-20
6739,Breath of Fire,GBA,Role-Playing,Capcom,Capcom,7.8,0.22,0.11,0.06,0.04,0.0,2001-12-13
6742,Hunted: The Demon's Forge,X360,Role-Playing,Bethesda Softworks,InXile Entertainment,6.0,0.22,0.13,0.0,0.07,0.02,2011-05-31
6750,Radiant Historia: Perfect Chronology,3DS,Role-Playing,Atlus,Atlus,8.1,0.21,0.11,0.06,0.03,0.01,2018-02-13
6792,Vampire Rain,X360,Action,AQ Interactive,Artoon,3.9,0.21,0.18,0.01,0.0,0.02,2007-07-03
6801,Fate/Extella: The Umbral Star,NS,Action,Xseed Games,Marvelous Entertainment,8.0,0.21,0.1,0.04,0.06,0.02,2017-07-25
6838,Dead to Rights: Retribution,X360,Shooter,Namco Bandai,Volatile Games,5.7,0.21,0.11,0.0,0.08,0.02,2010-04-27
6849,50 Cent: Blood on the Sand,X360,Shooter,THQ,Swordfish Studios,7.3,0.21,0.12,0.0,0.07,0.02,2009-02-24
6885,Tenchu: Shadow Assassins,Wii,Action,Ubisoft,Acquire,7.0,0.21,0.15,0.03,0.01,0.01,2009-02-05
6912,Final Fight One,GBA,Fighting,Capcom,Capcom,8.2,0.21,0.09,0.08,0.03,0.0,2001-09-26
6922,Blue Dragon Plus,DS,Role-Playing,Ignition Entertainment,Mistwalker Corporation / Brownie Brown Inc. / Feelplus Inc.,6.5,0.21,0.12,0.05,0.03,0.01,2009-02-19
6928,Tekken 3D: Prime Edition,3DS,Fighting,Namco Bandai,Namco Bandai Games,6.5,0.21,0.06,0.05,0.08,0.01,2012-02-14
6964,Mana Khemia 2: Fall of Alchemy,PS2,Role-Playing,NIS America,Gust,8.2,0.2,0.07,0.05,0.05,0.02,2009-08-25
6982,Dead or Alive Paradise,PSP,Misc,Tecmo,Team Ninja,4.5,0.2,0.08,0.07,0.02,0.02,2010-03-30
7034,Arcana Heart 3,PS3,Fighting,Aksys Games,Examu Inc.,7.0,0.2,0.04,0.1,0.05,0.02,2014-09-23
7042,Kung Fu Rider,PS3,Action,Sony Computer Entertainment,SCE Japan Studio,4.3,0.2,0.06,0.01,0.1,0.04,2010-09-17
7081,Earth Defense Force: Insect Armageddon,PS3,Shooter,D3 Publisher,Vicious Cycle,6.6,0.2,0.06,0.08,0.04,0.02,2011-07-05
7096,DanceMasters,X360,Misc,Konami,GCP1,6.2,0.2,0.15,0.02,0.02,0.01,2010-11-04
7117,Solatorobo: Red the Hunter,DS,Role-Playing,Xseed Games,CyberConnect2,7.6,0.2,0.08,0.07,0.04,0.01,2011-09-27
7123,Dark Messiah of Might and Magic Elements,X360,Role-Playing,Ubisoft,Arkane Studios / Floodgate Entertainment / Kuju Entertainment,5.0,0.2,0.16,0.01,0.02,0.02,2008-02-12
7126,Infinite Space,DS,Role-Playing,Sega,PlatinumGames / Nude Maker,7.2,0.2,0.06,0.07,0.05,0.01,2010-03-16
7128,Ogre Battle Saga Episode Five: The March of the Black Queen,PS,Role-Playing,Atlus,Quest Corporation,7.6,0.2,0.06,0.09,0.04,0.01,1997-07-31
7136,Armored Core 4,PS3,Simulation,Sega,From Software,6.6,0.2,0.09,0.09,0.0,0.01,2007-03-20
7147,Dragon Ball: Revenge of King Piccolo,Wii,Action,Namco Bandai,Bandai Namco Games,6.1,0.2,0.12,0.03,0.03,0.02,2009-10-20
7149,Ridge Racer 6,X360,Racing,Namco,Namco,7.9,0.2,0.1,0.07,0.02,0.01,2005-11-17
7153,Dante's Inferno,PSP,Action,Electronic Arts,Visceral Games,6.6,0.2,0.12,0.01,0.04,0.02,2010-03-02
7156,No More Heroes: Heroes' Paradise,PS3,Action,Konami,FeelPlus,7.4,0.2,0.1,0.04,0.04,0.02,2011-08-16
